	description	link	title	link_class	type
258	Budget of Expenditures and Sources of Financing Personnel (or Personal) Services, By Agency/Sub-Special Purpose Fund 2010	http://data.insomnation.com/catalogue/storage/f/2013-12-16T06%3A12%3A49.308Z/dbm-besf-table-b-2c-2010.csv	Budget of Expenditures and Sources of Financing Table B.2c 2010	<type 'unicode'>	csv
259	The DOT- Tourism Attractions @ PGS  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was shared to the portal by the...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13448644.558978%2C1499533.7896489%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Tourism%20attraction%22%2C%22geoportal%3Adot_tourattract%22%2C1%2C%22TourismAttractions%22%2C0%2Cnull%5D%5D%7D	Tourism Attraction	<type 'unicode'>	7896489%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Tourism%20attraction%22%2C%22geoportal%3Adot_tourattract%22%2C1%2C%22TourismAttractions%22%2C0%2Cnull%5D%5D%7D
260	Budget of Expenditures and Sources of Financing Personnel (or Personal) Services, By Agency/Sub-Special Purpose Fund 2010	http://data.insomnation.com/catalogue/storage/f/2013-12-16T06%3A08%3A44.772Z/dbm-besf-table-b-2b-2010.csv	 Table B.2b 2010 Budget of Expenditures and Sources of Financing	<type 'unicode'>	csv
261	Budget of Expenditures and Sources of Financing Personnel (or Personal) Services, By Agency/Sub-Special Purpose Fund 2010	http://data.insomnation.com/catalogue/storage/f/2013-12-16T06%3A03%3A48.259Z/dbm-besf-table-b-2a-2010.csv	Budget of Expenditures and Sources of Financing Table B.2a 2010	<type 'unicode'>	csv
262	Budget of Expenditures and Sources of Financing Expenditure Program, By Object 2011	http://data.insomnation.com/catalogue/storage/f/2013-12-16T05%3A50%3A49.537Z/dbm-besf-table-b-1-2010.csv	Table B.1 2010 Budget of Expenditures and Sources of Financing	<type 'unicode'>	csv
263	The DOH - Hospitals/Health Centers @ PGS is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was shared to the portal by...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13448644.558978%2C1499533.7896489%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Hospital%20and%20health%20center%20%28DOH%29%22%2C%22geoportal%3Adoh_hospitalrhu%22%2C1%2C%22HospitalsHealthCenters%22%2C0%2Cnull%5D%5D%7D	Hospital and Health Center	<type 'unicode'>	7896489%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Hospital%20and%20health%20center%20%28DOH%29%22%2C%22geoportal%3Adoh_hospitalrhu%22%2C1%2C%22HospitalsHealthCenters%22%2C0%2Cnull%5D%5D%7D
264	The DA - Fish Sanctuaries is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph). The dataset was shared to the portal by the Department of...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13625912.949269%2C1380471.0515235%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Fish%20sanctuary%22%2C%22geoportal%3Afishsanctuaries%22%2C1%2C%22FishSanctuaries%22%2C0%2Cnull%5D%5D%7D	Fish sanctuary	<type 'unicode'>	0515235%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Fish%20sanctuary%22%2C%22geoportal%3Afishsanctuaries%22%2C1%2C%22FishSanctuaries%22%2C0%2Cnull%5D%5D%7D
265	The DA- Fishport is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph). The dataset	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099764%2C1403622.1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Fish%20port%22%2C%22geoportal%3Ada_fishport%22%2C1%2C%22Fishport%22%2C0%2Cnull%5D%5D%7D	Fish port	<type 'unicode'>	1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Fish%20port%22%2C%22geoportal%3Ada_fishport%22%2C1%2C%22Fishport%22%2C0%2Cnull%5D%5D%7D
266	Approved National Budget for 2009	http://data.insomnation.com/catalogue/storage/f/2013-12-13T05%3A34%3A23.676Z/dbm-general-appropriations-act-automatic-appropriations-2009.csv	General Appropriations Act (Automatic Appropriations) 2009	<type 'unicode'>	csv
267	National Economic and Development Authority (NEDA) updates on the economics as of July 24, 2013.	http://data.insomnation.com/catalogue/storage/f/2013-12-13T05%3A47%3A05.136Z/24-july-2013-neda-updates.csv	24 July 2013 NEDA Updates	<type 'unicode'>	csv
268	The dataset provide a male gender-based statistics on fishermen that are involve in the farming of bangus. The extent or area of coverage is nationwide. The dataset was shared...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13625912.949269%2C1380471.0515235%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Male%20fisherman%20engaged%20in%20bangus%20aquaculture%22%2C%22geoportal%3Afishermen_bangus_aquaculture%22%2C1%2C%22MaleFishermanengagedinBangusAquaculture%22%2C0%2Cnull%5D%5D%7D	Male fisherman engaged in bangus aquaculture	<type 'unicode'>	0515235%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Male%20fisherman%20engaged%20in%20bangus%20aquaculture%22%2C%22geoportal%3Afishermen_bangus_aquaculture%22%2C1%2C%22MaleFishermanengagedinBangusAquaculture%22%2C0%2Cnull%5D%5D%7D
269	The dataset provide a female gender-based statistics on registered fishermen nationwide.	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13625912.949269%2C1380471.0515235%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Female%20registered%20fishermen%22%2C%22geoportal%3Aregisteredfishermen%22%2C1%2C%22FemaleRegisteredFishermen%22%2C0%2Cnull%5D%5D%7D	Female registered fishermen	<type 'unicode'>	0515235%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Female%20registered%20fishermen%22%2C%22geoportal%3Aregisteredfishermen%22%2C1%2C%22FemaleRegisteredFishermen%22%2C0%2Cnull%5D%5D%7D
270	The dataset provide a female gender-based statistics on registered farmers nationwide.	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13625912.949269%2C1380471.0515235%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Female%20registered%20farmers%22%2C%22geoportal%3Aregisteredfarmers%22%2C1%2C%22FemaleRegisteredFarmers%22%2C0%2Cnull%5D%5D%7D	Female registered farmers	<type 'unicode'>	0515235%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Female%20registered%20farmers%22%2C%22geoportal%3Aregisteredfarmers%22%2C1%2C%22FemaleRegisteredFarmers%22%2C0%2Cnull%5D%5D%7D
271	 The dataset provide a female gender-based statistics on registered farm laborers nationwide.	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099764%2C1403622.1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Female%20registered%20farm%20laborers%22%2C%22geoportal%3Aregisteredfarmlaborers%22%2C1%2C%22FemaleRegisteredFarmLaborers%22%2C0%2Cnull%5D%5D%7D	Female registered farm laborers	<type 'unicode'>	1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Female%20registered%20farm%20laborers%22%2C%22geoportal%3Aregisteredfarmlaborers%22%2C1%2C%22FemaleRegisteredFarmLaborers%22%2C0%2Cnull%5D%5D%7D
272	The dataset provide a female gender-based statistics on fishermen that are involve in the farming of tilapia. The extent or area of coverage is nationwide.	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099764%2C1403622.1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Female%20fishermen%20engaged%20in%20tilapia%20aquaculture%22%2C%22geoportal%3Afishermen_tilapia_aquaculture%22%2C1%2C%22FemaleFishermenengagedTilapiaAquaculture%22%2C0%2Cnull%5D%5D%7D	Female fisherman engaged in tilapia aquaculture	<type 'unicode'>	1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Female%20fishermen%20engaged%20in%20tilapia%20aquaculture%22%2C%22geoportal%3Afishermen_tilapia_aquaculture%22%2C1%2C%22FemaleFishermenengagedTilapiaAquaculture%22%2C0%2Cnull%5D%5D%7D
273	National Economic and Development Authority (NEDA) updates on the economics as of June 26, 2013.	http://data.insomnation.com/catalogue/storage/f/2013-12-13T04%3A39%3A50.337Z/25-september-2013-neda-updates.csv	NEDA Updates 25 September 2013 	<type 'unicode'>	csv
274	The dataset provide a female gender-based statistics on fishermen that are involve in the farming of oyster. The extent or area of coverage is nationwide.	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099764%2C1403622.1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Female%20fishermen%20engaged%20in%20oyster%20aquaculture%22%2C%22geoportal%3Afishermen_oyster_aquaculture%22%2C1%2C%22FemaleFishermenengagedOysterAquaculture%22%2C0%2Cnull%5D%5D%7D	Female fisherman engaged in oyster aquaculture	<type 'unicode'>	1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Female%20fishermen%20engaged%20in%20oyster%20aquaculture%22%2C%22geoportal%3Afishermen_oyster_aquaculture%22%2C1%2C%22FemaleFishermenengagedOysterAquaculture%22%2C0%2Cnull%5D%5D%7D
275	The dataset provide a female gender-based statistics on fishermen that are involve in the farming of seaweed. The extent or area of coverage is nationwide.	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099764%2C1403622.1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Female%20fishermen%20engaged%20in%20seaweed%20aquaculture%22%2C%22geoportal%3Afishermen_seaweed_aquaculture%22%2C1%2C%22FemaleFishermenengagedinSeaweedAquaculture%22%2C0%2Cnull%5D%5D%7D	Female fisherman engaged in seaweed aquaculture	<type 'unicode'>	1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Female%20fishermen%20engaged%20in%20seaweed%20aquaculture%22%2C%22geoportal%3Afishermen_seaweed_aquaculture%22%2C1%2C%22FemaleFishermenengagedinSeaweedAquaculture%22%2C0%2Cnull%5D%5D%7D
276	Budget of Expenditures and Sources of Financing Personnel (or Personal) Services, By Agency/Sub-Special Purpose Fund 2011	http://data.insomnation.com/catalogue/storage/f/2013-12-16T03%3A18%3A44.500Z/dbm-besf-table-b-2c-2011.csv	Budget of Expenditures and Sources of Financing Table B.2c 2011	<type 'unicode'>	csv
277	Budget of Expenditures and Sources of Financing Personnel (or Personal) Services, By Agency/Sub-Special Purpose Fund 2011	http://data.insomnation.com/catalogue/storage/f/2013-12-16T03%3A12%3A43.662Z/dbm-besf-table-b-2b-2011.csv	Budget of Expenditures and Sources of Financing Table B.2b 2011	<type 'unicode'>	csv
278	Budget of Expenditures and Sources of Financing Personnel (or Personal) Services, By Agency/Sub-Special Purpose Fund 2011	http://data.insomnation.com/catalogue/storage/f/2013-12-16T03%3A06%3A29.901Z/dbm-besf-table-b-2a-2011.csv	Budget of Expenditures and Sources of Financing Table B.2a 2011	<type 'unicode'>	csv
279	Budget of Expenditures and Sources of Financing Expenditure Program, By Object 2011	http://data.insomnation.com/catalogue/storage/f/2013-12-16T03%3A00%3A23.810Z/dbm-besf-table-b-1-2011.csv	Budget of Expenditures and Sources of Financing Table B.1 2011	<type 'unicode'>	csv
280	Budget of Expenditures and Sources of Financing Expenditure Program (Net of Debt Burden), By Department/Special Purpose Funds, By Program Category 2012	http://data.insomnation.com/catalogue/storage/f/2013-12-16T02%3A50%3A00.010Z/dbm-besf-table-b-13-2012.csv	 Budget of Expenditures and Sources of Financing Table B.13 2012	<type 'unicode'>	csv
281	The DEPED - Schools Damaged by Typhoon Pablo is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was shared to the portal...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13996601.03265%2C951364.12965%2C3%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22School%20damaged%20by%20Typhoon%20Pablo%22%2C%22geoportal%3Adeped_schoolsdamagedbypablo%22%2C1%2C%22SchoolsDamagedByTyphoonPablo%22%2C0%2Cnull%5D%5D%7D	School Damaged by Typhoon Pablo	<type 'unicode'>	12965%2C3%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22School%20damaged%20by%20Typhoon%20Pablo%22%2C%22geoportal%3Adeped_schoolsdamagedbypablo%22%2C1%2C%22SchoolsDamagedByTyphoonPablo%22%2C0%2Cnull%5D%5D%7D
282	Budget of Expenditures and Sources of Financing Expenditure Program, By Agency, By General Expense Class 2012	http://data.insomnation.com/catalogue/storage/f/2013-12-16T02%3A43%3A51.721Z/dbm-besf-table-b-11-2012.csv	Budget of Expenditures and Sources of Financing Table B.11 2012	<type 'unicode'>	csv
283	The DEPED - Schools @ PGS is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was shared to the portal by the Department of...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13514790.524603%2C1430741.9853987%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Public%20school%22%2C%22geoportal%3Adeped_beis%22%2C1%2C%22Schools%22%2C0%2Cnull%5D%5D%7D	Public School	<type 'unicode'>	9853987%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Public%20school%22%2C%22geoportal%3Adeped_beis%22%2C1%2C%22Schools%22%2C0%2Cnull%5D%5D%7D
284	Budget of Expenditures and Sources of Financing Expenditure Program, By Department/Special Purpose, By General Expense Class 2012	http://data.insomnation.com/catalogue/storage/f/2013-12-16T02%3A37%3A00.138Z/dbm-besf-table-b-10-2012.csv	Budget of Expenditures and Sources of Financing Table B.10 2012	<type 'unicode'>	csv
285	Budget of Expenditures and Sources of Financing National Government Expenditures, By Recipient Unit 2012	http://data.insomnation.com/catalogue/storage/f/2013-12-16T02%3A31%3A49.955Z/dbm-besf-table-b-9-2012.csv	Budget of Expenditures and Sources of Financing Table B.9 2012	<type 'unicode'>	csv
286	The DENR - Water Quality Monitoring Stations  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The extent or area of coverage is...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13447549.87215%2C1643028.12395%2C4%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Water%20quality%20monitoring%20station%22%2C%22geoportal%3Adenr_wqms%22%2C1%2C%22WaterQualityMonitoringStations%22%2C0%2Cnull%5D%5D%7D	Water Quality Monitoring Station	<type 'unicode'>	12395%2C4%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Water%20quality%20monitoring%20station%22%2C%22geoportal%3Adenr_wqms%22%2C1%2C%22WaterQualityMonitoringStations%22%2C0%2Cnull%5D%5D%7D
287	Budget of Expenditures and Sources of Financing Details of Sectoral Allocation of National Government Expenditures 2012	http://data.insomnation.com/catalogue/storage/f/2013-12-16T02%3A25%3A20.211Z/dbm-besf-table-b-7a-2012.csv	Budget of Expenditures and Sources of Financing Table B.7a 2012	<type 'unicode'>	csv
288	Schedule of Training Courses in the different ATI Training Centers	http://data.insomnation.com/catalogue/storage/f/2013-12-13T02%3A23%3A13.262Z/training-calendar.csv	Training Calendar	<type 'unicode'>	csv
289	Instruction and educational materials in print, video and other media	http://data.insomnation.com/catalogue/storage/f/2013-12-13T02%3A09%3A47.389Z/training-materials.csv	Training Materials	<type 'unicode'>	csv
290	Total production per type of Tobacco	http://data.insomnation.com/catalogue/storage/f/2013-12-13T01%3A58%3A18.541Z/tobacco-production.csv	Tobacco Productions	<type 'unicode'>	csv
291	NEDA updates on the Economy as of May 29, 2013.	http://data.insomnation.com/catalogue/storage/f/2013-12-13T01%3A57%3A04.994Z/29-may-2013-neda-updates.csv	29 May 2013 NEDA Updates	<type 'unicode'>	csv
292	Price of Tobacco per year and per type of Tobacco	http://data.insomnation.com/catalogue/storage/f/2013-12-13T01%3A53%3A16.226Z/tobacco-prices.csv	Tobacco Prices	<type 'unicode'>	csv
293	 Total no. of Farmers-Cooperator and Area Planted for the different type of Tobacco.	http://data.insomnation.com/catalogue/storage/f/2013-12-13T01%3A40%3A26.344Z/tobacco-no-of-farmers-and-area-planted.csv	Tobacco Farmers	<type 'unicode'>	csv
294	Directory of international Sugar Traders	http://data.insomnation.com/catalogue/storage/f/2013-12-13T01%3A30%3A47.373Z/sugar-traders-international.csv	Sugar Traders (International)	<type 'unicode'>	csv
295	Directory of domestic Sugar Traders.	http://data.insomnation.com/catalogue/storage/f/2013-12-13T01%3A23%3A44.632Z/sugar-refineries.csv	Sugar Traders (Domestic)	<type 'unicode'>	csv
296	Directory of Sugar Refineries	http://data.insomnation.com/catalogue/storage/f/2013-12-13T01%3A18%3A49.304Z/sugar-refineries.csv	Sugar Refineries	<type 'unicode'>	csv
297	Directory of Sugar Muscovado Traders	http://data.insomnation.com/catalogue/storage/f/2013-12-13T01%3A05%3A52.538Z/sugar-muscovado-traders.csv	Sugar Muscovado Traders	<type 'unicode'>	csv
298	Directory of Sugar Molasses Traders	http://data.insomnation.com/catalogue/storage/f/2013-12-12T15%3A30%3A34.774Z/sugar-molasses-trades.xls	Sugar Molasses Traders	<type 'unicode'>	xls
299	Directory of Sugar Millers	http://data.insomnation.com/catalogue/storage/f/2013-12-12T15%3A26%3A54.676Z/sugar-millers.csv	Sugar Millers	<type 'unicode'>	csv
300	"The DENR - Parcel Data is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph). The
   dataset was shared to the portal by the Department of..."	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13467357.9424%2C1644776.53605%2C6%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Parcel%20data%22%2C%22geoportal%3Adenr_parcel_data%22%2C1%2C%22ParcelData%22%2C0%2Cnull%5D%5D%7D	Parcel data	<type 'unicode'>	53605%2C6%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Parcel%20data%22%2C%22geoportal%3Adenr_parcel_data%22%2C1%2C%22ParcelData%22%2C0%2Cnull%5D%5D%7D
301	Budget of Expenditures and Sources of Financing Maintenance and Other Operating Expenses 2012	http://data.insomnation.com/catalogue/storage/f/2013-12-13T08%3A50%3A59.967Z/dbm-besf-table-b-3a-2012.csv	Budget of Expenditures and Sources of Financing Table B.3a 2012	<type 'unicode'>	csv
302	The DENR - National Integrated Protected Areas System is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph). The dataset was shared to the...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099765%2C1403622.1394923%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22National%20integrated%20protected%20areas%20system%22%2C%22geoportal%3Adenr_nipas%22%2C1%2C%22NationalIntegratedProtectedAreasSystem%22%2C0%2Cnull%5D%5D%7D	National integrated protected areas system	<type 'unicode'>	1394923%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22National%20integrated%20protected%20areas%20system%22%2C%22geoportal%3Adenr_nipas%22%2C1%2C%22NationalIntegratedProtectedAreasSystem%22%2C0%2Cnull%5D%5D%7D
303	Budget of Expenditures and Sources of Financing Personnel (or Personal) Services, By Agency/Sub-Special Purpose Fund 2012	http://data.insomnation.com/catalogue/storage/f/2013-12-13T08%3A45%3A24.612Z/dbm-besf-table-b-2c-2012.csv	Budget of Expenditures and Sources of Financing Table B.2c 2012	<type 'unicode'>	csv
304	The DENR - Mining Sites is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph). The dataset was shared to the portal by the Department of...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099765%2C1403622.1394923%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Mining%20site%22%2C%22geoportal%3Adenr_mining%22%2C1%2C%22MiningSites%22%2C0%2Cnull%5D%5D%7D	Mining site	<type 'unicode'>	1394923%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Mining%20site%22%2C%22geoportal%3Adenr_mining%22%2C1%2C%22MiningSites%22%2C0%2Cnull%5D%5D%7D
305	Budget of Expenditures and Sources of Financing Personnel (or Personal) Services, By Agency/Sub-Special Purpose Fund 2012	http://data.insomnation.com/catalogue/storage/f/2013-12-13T08%3A39%3A55.650Z/dbm-besf-table-b-2b-2012.csv	Table B.2b Budget of Expenditures and Sources of Financing 2012	<type 'unicode'>	csv
306	The DENR - Key Biodiversity Areas @ PGS is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph). The dataset was shared to the portal by the...	http://geoportal.gov.ph/?p=%7B%22g%22%3A%5B13475276.621824%2C1416917.4785822%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Key%20biodiversity%20area%22%2C%22geoportal%3Adenr_kbas%22%2C1%2C%22KeyBiodiversityAreas%22%2C0%2Cnull%5D%5D%7D	Key biodiversity area	<type 'unicode'>	4785822%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Key%20biodiversity%20area%22%2C%22geoportal%3Adenr_kbas%22%2C1%2C%22KeyBiodiversityAreas%22%2C0%2Cnull%5D%5D%7D
307	Budget of Expenditures and Sources of Financing Personnel (or Personal) Services, By Agency/Sub-Special Purpose Fund 2012	http://data.insomnation.com/catalogue/storage/f/2013-12-13T08%3A33%3A15.893Z/dbm-besf-table-b-2a-2012.csv	Budget of Expenditures and Sources of Financing Table B.2a 2012	<type 'unicode'>	csv
308	The DENR - Critical Watersheds is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph). The dataset was shared to the portal by the...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099765%2C1403622.1394923%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Critical%20watershed%22%2C%22geoportal%3Adenr_criticalwatershed%22%2C1%2C%22CriticalWatersheds%22%2C0%2Cnull%5D%5D%7D	Critical Watershed	<type 'unicode'>	1394923%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Critical%20watershed%22%2C%22geoportal%3Adenr_criticalwatershed%22%2C1%2C%22CriticalWatersheds%22%2C0%2Cnull%5D%5D%7D
309	Budget of Expenditures and Sources of Financing Expenditure Program, By Object 2012	http://data.insomnation.com/catalogue/storage/f/2013-12-13T08%3A22%3A32.668Z/dbm-besf-table-b-1-2012.csv	Budget of Expenditures and Sources of Financing Table B.1 2012	<type 'unicode'>	csv
310	The DENR - Community-Based Forest Management @ PGS is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph). The dataset was shared to the...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099765%2C1403622.1394923%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Community-based%20forest%20management%22%2C%22geoportal%3Adenr_cbfm%22%2C1%2C%22CommunityBasedForestManagement%22%2C0%2Cnull%5D%5D%7D	Community-based forest management	<type 'unicode'>	1394923%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Community-based%20forest%20management%22%2C%22geoportal%3Adenr_cbfm%22%2C1%2C%22CommunityBasedForestManagement%22%2C0%2Cnull%5D%5D%7D
311	The DENR - Caves is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph). The extent or area of coverage is nationwide. For specific LGU...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099765%2C1403622.1394923%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Cave%22%2C%22geoportal%3Adenr_caves%22%2C1%2C%22Caves%22%2C0%2Cnull%5D%5D%7D	Cave	<type 'unicode'>	1394923%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Cave%22%2C%22geoportal%3Adenr_caves%22%2C1%2C%22Caves%22%2C0%2Cnull%5D%5D%7D
312	Income Statement/Consolidated Statement of Income and Expense, and Key Ratios of Non-Banks with Quasi Banking Functions	http://www.bsp.gov.ph/banking/pbs_archives/2011/64.xls	Income Statement and Key Ratios of Non-Banks with Quasi Banking Functions 2011	<type 'unicode'>	xls
313	Income Statement/Consolidated Statement of Income and Expense, and Key Ratios of Non-Banks with Quasi Banking Functions	http://www.bsp.gov.ph/banking/pbs_archives/2012/64.xls	Income Statement and Key Ratios of Non-Banks with Quasi Banking Functions 2012	<type 'unicode'>	xls
314	Income Statement/Consolidated Statement of Income and Expense, and Key Ratios of Non-Banks with Quasi Banking Functions	http://www.bsp.gov.ph/banking/pbs_excel/63.xls	Income Statement and Key Ratios of Non-Banks with Quasi Banking Functions, As of June 2013	<type 'unicode'>	xls
315	Balance Sheet/Consolidated Statement of Condition and Key Ratios of Non-Banks with Quasi Banking Functions	http://www.bsp.gov.ph/banking/pbs_excel/64.xls	Balance Sheet and Key Ratios of Non-Banks with Quasi Banking Functions, As of June 2013	<type 'unicode'>	xls
316	Balance Sheet/Consolidated Statement of Condition and Key Ratios of Non-Banks with Quasi Banking Functions	http://www.bsp.gov.ph/banking/pbs_archives/2012/63.xls	Balance Sheet and Key Ratios of Non-Banks with Quasi Banking Functions 2012	<type 'unicode'>	xls
317	Balance Sheet/Consolidated Statement of Condition and Key Ratios of Non-Banks with Quasi Banking Functions	http://www.bsp.gov.ph/banking/pbs_archives/2011/63.xls	Balance Sheet and Key Ratios of Non-Banks with Quasi Banking Functions 2011	<type 'unicode'>	xls
318	Balance Sheet/Consolidated Statement of Condition and Key Ratios of Non-Banks with Quasi Banking Functions 2010	http://www.bsp.gov.ph/banking/pbs_archives/2010/63.xls	Balance Sheet and Key Ratios of Non-Banks with Quasi Banking Functions 2010	<type 'unicode'>	xls
319	Balance Sheet/Consolidated Statement of Condition and Key Ratios of Non-Banks with Quasi Banking Functions	http://www.bsp.gov.ph/banking/pbs_archives/2009/63.xls	Balance Sheet and Key Ratios of Non-Banks with Quasi Banking Functions 2009	<type 'unicode'>	xls
320	Balance Sheet/Consolidated Statement of Condition and Key Ratios of Non-Banks with Quasi Banking Functions 2008	http://www.bsp.gov.ph/banking/pbs_archives/2008/63.xls	Balance Sheet and Key Ratios of Non-Banks with Quasi Banking Functions 2008	<type 'unicode'>	xls
321	Income Statement/Consolidated Statement of Income and Expense, and Key Ratios of Rural and Cooperative Banking System	http://www.bsp.gov.ph/banking/pbs_archives/2008/49.xls	Income Statement and Key Ratios of Rural and Cooperative Banking System 2008	<type 'unicode'>	xls
